run_id,config_summary,epochs_logged,epochs_target,status,best_val_miou,best_epoch,val_acc_at_best,train_miou_at_best,train_acc_at_best,final_val_miou,final_val_acc,final_train_miou,final_train_acc,notes,
Patch_Seg_17class_gateOn_color_mosaic_tuned_hsv,"ANCHOR: dilated, gate=on, mosaic-HSV, tuned thresh, whole_tooth=0",200,200,complete,0.8292,194,0.944,0.7611,0.9228,0.7162,0.8853,0.7638,0.9235,,
Patch_Seg_17class_gateOff_color_mosaic_tuned_hsv,gating=OFF (else = anchor),200,200,complete,0.8396,194,0.9468,0.787,0.9318,0.8246,0.9472,0.7898,0.9327,,
Patch_Seg_17class_gateOn_colorNone_tuned,RGB=none / geometry-only (else = anchor),118,200,incomplete (118/200),0.6713,111,0.8412,0.6003,0.7882,0.6158,0.7919,0.5967,0.7829,server run stopped midway,
Patch_Seg_17class_gateOn_colorFlat_tuned,RGB=flat/SyntheticColorPaint (else = anchor),200,200,complete,0.8353,194,0.9456,0.7899,0.9369,0.8104,0.9419,0.7711,0.9271,,
Patch_Seg_17class_gateOn_color_mosaic_tuned_hsv_dilationks,dilation_ks=200/1200/3000 widened (else = anchor),200,200,complete,0.837,189,0.9493,0.7741,0.929,0.7081,0.8803,0.7826,0.9307,,
Patch_Seg_17class_gateOn_color_mosaic_tuned_hsv_wholetooth,whole_tooth_patch_prob=0.3 (else = anchor),200,200,complete,0.821,188,0.9421,0.7513,0.9139,0.7596,0.9234,0.7528,0.919,,
Patch_Seg_17class_gateOn_color_mosaic_tuned_hsv_colordropout,"color_dropout_prob=0.6, train+val (else = anchor)",200,200,complete,0.8208,177,0.9269,0.7474,0.8983,0.7973,0.921,0.7832,0.9111,val_miou not directly comparable - harder val distribution,
Patch_Seg_17class_gateOn_color_mosaic_areaThreshTunedOnly,"area_thresholds=default 40/180/360, early_bias_power stays tuned",133,200,incomplete (133/200),0.8168,131,0.9409,0.7445,0.9142,0.8072,0.9414,0.733,0.9103,server run stopped midway,
Patch_Seg_17class_gateOn_color_mosaic_earlyBiasTunedOnly,"early_bias_power=default 2.5, area_thresholds stays tuned",116,200,incomplete (116/200),0.7777,101,0.9249,0.6735,0.8737,0.767,0.9214,0.6928,0.8851,server run stopped midway,
Patch_Seg_17class_gateOn_color_mosaic_tuned_hsv_transformer,architecture=dilated_transformer (early-global) (else = anchor),200,200,complete,0.8472,181,0.9513,0.7975,0.9336,0.8357,0.9514,0.8131,0.9431,,
Patch_Seg_17class_gateOn_color_mosaic_tuned_hsv_transformer_lateglobal,architecture=dilated_transformer+add_late_global (else = anchor),200,200,complete,0.84,189,0.9472,0.7844,0.9302,0.8169,0.9458,0.7951,0.9335,,
Patch_Seg_17class_gateOn_color_mosaic_tuned_hsv_transformer_100ep,"architecture=dilated_transformer (early-global), local run, HSV color",100,100,complete,0.7992,88,0.9236,0.6971,0.8875,0.7443,0.9079,0.7142,0.8998,,
Patch_Seg_17class_gateOn_color_mosaic_tuned_hsv_transformer_lateglobal_100ep,"architecture=dilated_transformer+add_late_global, local run, HSV color",100,100,complete,0.82,95,0.9343,0.7385,0.9097,0.7929,0.931,0.7464,0.916,,
Patch_Seg_17class_gateOn_color_mosaic_tuned,"dilated, gate=on, mosaic-OLD-RGB (pre-HSV-fix), tuned thresh, whole_tooth=0",215,200,complete,0.8317,214,0.9357,0.7844,0.9287,0.8317,0.9357,0.7844,0.9287,"pre-HSV-fix color augmentation (independent-channel RGB noise, superseded by anchor above)",
Patch_Seg_17class_gateOn_color_mosaic_tuned_wholetooth,"dilated, gate=on, mosaic-OLD-RGB, tuned thresh, whole_tooth=0.3",100,100,complete,0.7471,90,0.9067,0.6257,0.8452,0.6885,0.8836,0.6661,0.8684,pre-HSV-fix color augmentation,
Patch_Seg_17class_gateOn_color_baseline,"dilated, gate=on, mosaic-OLD-RGB, UNTUNED thresholds/early_bias_power (original defaults)",121,100,complete,0.6505,114,0.8676,0.5625,0.8102,0.57,0.8084,0.5576,0.8008,pre-HSV-fix color augmentation, original untuned baseline
Patch_Seg_081226,"early project checkpoint, predates the color/patch-matrix work in this thread",100,,NO_TARGET,0.5676,90,0.7681,0.4893,0.692,0.4989,0.7037,0.4845,0.6804,"included for completeness only, not comparable to the rest",
Patch_Seg_17class_gateOn_color_mosaic_tuned_hsv_transformer_midlineseed,"architecture=dilated_transformer (early-global) + midline_seed_prob=0.3, resumed from the 100ep no-midline checkpoint at ~epoch 99 (else = anchor)",200,200,complete,0.8478,188,0.9429,0.7793,0.9305,0.8122,0.9374,0.7965,0.9304,"midline curriculum only active for 2nd half of training (resumed, not trained from scratch); best_val_miou +0.0006 vs same architecture without midline (0.8472) - within noise, not a real gain; last-20-epoch avg (0.8134) noisier than the non-midline run's own (0.8229), dipping to 0.7251 at one point late in training",
